1736458893.395820 server started (3409348): version 3.4, socket /tmp/tmux-208764/default, protocol 8
1736458893.395843 on Linux 6.8.0-47-generic #47-Ubuntu SMP PREEMPT_DYNAMIC Fri Sep 27 21:40:26 UTC 2024
1736458893.395850 using libevent 2.1.12-stable poll
1736458893.395853 using ncurses 6.4 20240113
1736458893.395945 input_key_build: 0x10e003 (PasteStart) is \033[200~
1736458893.395951 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1736458893.395954 input_key_build: 0x10e195 (F1) is \033OP
1736458893.395957 input_key_build: 0x10e196 (F2) is \033OQ
1736458893.395960 input_key_build: 0x10e197 (F3) is \033OR
1736458893.395962 input_key_build: 0x10e198 (F4) is \033OS
1736458893.395964 input_key_build: 0x10e199 (F5) is \033[15~
1736458893.395967 input_key_build: 0x10e19a (F6) is \033[17~
1736458893.395969 input_key_build: 0x10e19b (F7) is \033[18~
1736458893.395972 input_key_build: 0x10e19c (F8) is \033[19~
1736458893.395974 input_key_build: 0x10e19d (F9) is \033[20~
1736458893.395977 input_key_build: 0x10e19e (F10) is \033[21~
1736458893.395979 input_key_build: 0x10e19f (F11) is \033[23~
1736458893.395987 input_key_build: 0x10e1a0 (F12) is \033[24~
1736458893.395990 input_key_build: 0x10e1a1 (IC) is \033[2~
1736458893.395992 input_key_build: 0x10e1a2 (DC) is \033[3~
1736458893.395994 input_key_build: 0x10e1a3 (Home) is \033[1~
1736458893.395997 input_key_build: 0x10e1a4 (End) is \033[4~
1736458893.395999 input_key_build: 0x10e1a5 (NPage) is \033[6~
1736458893.396002 input_key_build: 0x10e1a6 (PPage) is \033[5~
1736458893.396004 input_key_build: 0x10e1a7 (BTab) is \033[Z
1736458893.396007 input_key_build: 0x10e1a8 (Up) is \033[A
1736458893.396009 input_key_build: 0x10e1a9 (Down) is \033[B
1736458893.396012 input_key_build: 0x10e1aa (Left) is \033[D
1736458893.396014 input_key_build: 0x10e1ab (Right) is \033[C
1736458893.396017 input_key_build: 0x10e1ac (KP/) is /
1736458893.396020 input_key_build: 0x10e1ad (KP*) is *
1736458893.396022 input_key_build: 0x10e1ae (KP-) is -
1736458893.396025 input_key_build: 0x10e1af (KP7) is 7
1736458893.396027 input_key_build: 0x10e1b0 (KP8) is 8
1736458893.396029 input_key_build: 0x10e1b1 (KP9) is 9
1736458893.396032 input_key_build: 0x10e1b2 (KP+) is +
1736458893.396034 input_key_build: 0x10e1b3 (KP4) is 4
1736458893.396037 input_key_build: 0x10e1b4 (KP5) is 5
1736458893.396039 input_key_build: 0x10e1b5 (KP6) is 6
1736458893.396041 input_key_build: 0x10e1b6 (KP1) is 1
1736458893.396044 input_key_build: 0x10e1b7 (KP2) is 2
1736458893.396046 input_key_build: 0x10e1b8 (KP3) is 3
1736458893.396052 input_key_build: 0x10e1b9 (KPEnter) is \n
1736458893.396054 input_key_build: 0x10e1ba (KP0) is 0
1736458893.396057 input_key_build: 0x10e1bb (KP.) is .
1736458893.396059 input_key_build: 0x200000000009 (C-Tab) is \t
1736458893.396062 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1736458893.396065 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1736458893.396067 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1736458893.396070 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1736458893.396072 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1736458893.396075 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1736458893.396078 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1736458893.396080 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1736458893.396083 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1736458893.396085 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1736458893.396088 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1736458893.396090 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1736458893.396093 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
